"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","price","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2130 E 11th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,310""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2130 E 11th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.679283,""longitude"":-117.083466},""url"":""https://www.zillow.com/homedetails/2130-E-11th-St-National-City-CA-91950/17097473_zpid/""}","https://www.zillow.com/homedetails/2130-E-11th-St-National-City-CA-91950/17097473_zpid/","2130 E 11th St, National City, CA 91950","AVARON REALTY","$700,000","- Sold","3","bds","2","ba","1,310","sqft","Sold 01/07/2022","https://www.zillow.com/homedetails/2130-E-11th-St-National-City-CA-91950/17097473_zpid/","https://photos.zillowstatic.com/fp/d2756079ae576b613ff346604d4e3c3e-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2201 N Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,423""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2201 N Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66772,""longitude"":-117.087585},""url"":""https://www.zillow.com/homedetails/2201-N-Ave-National-City-CA-91950/17099815_zpid/""}","https://www.zillow.com/homedetails/2201-N-Ave-National-City-CA-91950/17099815_zpid/","2201 N Ave, National City, CA 91950","EQUITY RE PACIFIC COAST","$700,000","- Sold","3","bds","2","ba","1,423","sqft","Sold 09/02/2022","https://www.zillow.com/homedetails/2201-N-Ave-National-City-CA-91950/17099815_zpid/","https://photos.zillowstatic.com/fp/3e6c854c1cfb921ab443ac2f9a5d1bad-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1027 Manchester St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,141""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1027 Manchester St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.683918,""longitude"":-117.06959},""url"":""https://www.zillow.com/homedetails/1027-Manchester-St-National-City-CA-91950/17189529_zpid/""}","https://www.zillow.com/homedetails/1027-Manchester-St-National-City-CA-91950/17189529_zpid/","1027 Manchester St, National City, CA 91950","MOVANTI REALTY","$700,000","- Sold","3","bds","2","ba","1,141","sqft","Sold 11/22/2022","https://www.zillow.com/homedetails/1027-Manchester-St-National-City-CA-91950/17189529_zpid/","https://photos.zillowstatic.com/fp/bda5e284f7f3a1f21f1d67bc8f948514-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4209 Paseo De Paz, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,630""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4209 Paseo De Paz"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.65688,""longitude"":-117.05954},""url"":""https://www.zillow.com/homedetails/4209-Paseo-De-Paz-National-City-CA-91950/63660437_zpid/""}","https://www.zillow.com/homedetails/4209-Paseo-De-Paz-National-City-CA-91950/63660437_zpid/","4209 Paseo De Paz, National City, CA 91950","EXP REALTY","$699,500","- Sold","3","bds","3","ba","1,630","sqft","Sold 06/09/2022","https://www.zillow.com/homedetails/4209-Paseo-De-Paz-National-City-CA-91950/63660437_zpid/","https://photos.zillowstatic.com/fp/5c1b72dace9f7c915e23520329e890bf-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""301 S Clairmont Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,403""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""301 S Clairmont Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.687965,""longitude"":-117.080025},""url"":""https://www.zillow.com/homedetails/301-S-Clairmont-Ave-National-City-CA-91950/17095874_zpid/""}","https://www.zillow.com/homedetails/301-S-Clairmont-Ave-National-City-CA-91950/17095874_zpid/","301 S Clairmont Ave, National City, CA 91950","RETROSPECT PROPERTIES","$695,000","- Sold","3","bds","2","ba","1,403","sqft","Sold 05/03/2022","https://www.zillow.com/homedetails/301-S-Clairmont-Ave-National-City-CA-91950/17095874_zpid/","https://photos.zillowstatic.com/fp/be7f2690596a187924a331d6d009892d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1010 E 15th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1010 E 15th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.67246,""longitude"":-117.09402},""url"":""https://www.zillow.com/homedetails/1010-E-15th-St-National-City-CA-91950/17099171_zpid/""}","https://www.zillow.com/homedetails/1010-E-15th-St-National-City-CA-91950/17099171_zpid/","1010 E 15th St, National City, CA 91950","MR AGENT RE","$695,000","- Sold","3","bds","2","ba","1,000","sqft","Sold 01/07/2022","https://www.zillow.com/homedetails/1010-E-15th-St-National-City-CA-91950/17099171_zpid/","https://photos.zillowstatic.com/fp/0fef6928184e494d0fa109c08b2e049d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2316 Magnolia Way, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,463""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2316 Magnolia Way"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.69054,""longitude"":-117.08434},""url"":""https://www.zillow.com/homedetails/2316-Magnolia-Way-National-City-CA-91950/71008166_zpid/""}","https://www.zillow.com/homedetails/2316-Magnolia-Way-National-City-CA-91950/71008166_zpid/","2316 Magnolia Way, National City, CA 91950","REALTY WORLD DOMINION","$695,000","- Sold","3","bds","3","ba","1,463","sqft","Sold 08/04/2022","https://www.zillow.com/homedetails/2316-Magnolia-Way-National-City-CA-91950/71008166_zpid/","https://photos.zillowstatic.com/fp/d0a23bcbe09eb7e88d7e9204dbcf6702-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1609 Orange St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""996""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1609 Orange St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.67537,""longitude"":-117.080055},""url"":""https://www.zillow.com/homedetails/1609-Orange-St-National-City-CA-91950/17099412_zpid/""}","https://www.zillow.com/homedetails/1609-Orange-St-National-City-CA-91950/17099412_zpid/","1609 Orange St, National City, CA 91950","BIG BLOCK REALTY, INC.","$690,000","- Sold","3","bds","2","ba","996","sqft","Sold 12/09/2022","https://www.zillow.com/homedetails/1609-Orange-St-National-City-CA-91950/17099412_zpid/","https://photos.zillowstatic.com/fp/3b0ecc701fe100b93154832e885c1bd5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1830 Palm Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,694""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1830 Palm Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.67114,""longitude"":-117.08725},""url"":""https://www.zillow.com/homedetails/1830-Palm-Ave-National-City-CA-91950/17099535_zpid/""}","https://www.zillow.com/homedetails/1830-Palm-Ave-National-City-CA-91950/17099535_zpid/","1830 Palm Ave, National City, CA 91950","COLDWELL BANKER WEST","$690,000","- Sold","3","bds","2","ba","1,694","sqft","Sold 04/25/2022","https://www.zillow.com/homedetails/1830-Palm-Ave-National-City-CA-91950/17099535_zpid/","https://photos.zillowstatic.com/fp/cf497876ac709cc09d4955e8649527f3-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2104 E 12th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,645""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2104 E 12th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.67819,""longitude"":-117.08404},""url"":""https://www.zillow.com/homedetails/2104-E-12th-St-National-City-CA-91950/17097586_zpid/""}","https://www.zillow.com/homedetails/2104-E-12th-St-National-City-CA-91950/17097586_zpid/","2104 E 12th St, National City, CA 91950","","$685,000","- Sold","3","bds","2","ba","1,645","sqft","Sold 08/31/2022","https://www.zillow.com/homedetails/2104-E-12th-St-National-City-CA-91950/17097586_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.67818832397461,-117.08403778076172&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=OQM4n8sXwR8C8cIzDYoAn3y3j4E=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2924 Prospect St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,226""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2924 Prospect St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.661953,""longitude"":-117.08011},""url"":""https://www.zillow.com/homedetails/2924-Prospect-St-National-City-CA-91950/17100510_zpid/""}","https://www.zillow.com/homedetails/2924-Prospect-St-National-City-CA-91950/17100510_zpid/","2924 Prospect St, National City, CA 91950","FOSTER HAMILTON REAL ESTATE CO","$685,000","- Sold","3","bds","2","ba","1,226","sqft","Sold 04/25/2022","https://www.zillow.com/homedetails/2924-Prospect-St-National-City-CA-91950/17100510_zpid/","https://photos.zillowstatic.com/fp/3017154ded197078e0d28b4ab42712e9-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3419 Paseo De Fuentes, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,463""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3419 Paseo De Fuentes"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.657642,""longitude"":-117.05886},""url"":""https://www.zillow.com/homedetails/3419-Paseo-De-Fuentes-National-City-CA-91950/63660401_zpid/""}","https://www.zillow.com/homedetails/3419-Paseo-De-Fuentes-National-City-CA-91950/63660401_zpid/","3419 Paseo De Fuentes, National City, CA 91950","COLDWELL BANKER WEST","$685,000","- Sold","3","bds","3","ba","1,463","sqft","Sold 10/07/2022","https://www.zillow.com/homedetails/3419-Paseo-De-Fuentes-National-City-CA-91950/63660401_zpid/","https://photos.zillowstatic.com/fp/d78d7eb1bba002edafc6ca3087f19c6f-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2403 Wisteria Way, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,735""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2403 Wisteria Way"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.69054,""longitude"":-117.08434},""url"":""https://www.zillow.com/homedetails/2403-Wisteria-Way-National-City-CA-91950/71008145_zpid/""}","https://www.zillow.com/homedetails/2403-Wisteria-Way-National-City-CA-91950/71008145_zpid/","2403 Wisteria Way, National City, CA 91950","EXP REALTY OF CALIFORNIA, INC","$685,000","- Sold","3","bds","3","ba","1,735","sqft","Sold 09/17/2021","https://www.zillow.com/homedetails/2403-Wisteria-Way-National-City-CA-91950/71008145_zpid/","https://photos.zillowstatic.com/fp/66865cb9d7f16c1f8b4a77a4e66179da-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2111 O Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""943""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2111 O Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.668926,""longitude"":-117.08688},""url"":""https://www.zillow.com/homedetails/2111-O-Ave-National-City-CA-91950/17099714_zpid/""}","https://www.zillow.com/homedetails/2111-O-Ave-National-City-CA-91950/17099714_zpid/","2111 O Ave, National City, CA 91950","EXP REALTY","$680,000","- Sold","3","bds","1","ba","943","sqft","Sold 07/18/2022","https://www.zillow.com/homedetails/2111-O-Ave-National-City-CA-91950/17099714_zpid/","https://photos.zillowstatic.com/fp/039ab7e5d9df8bbd3c18df3128798905-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""311 E 26th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,073""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""311 E 26th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.661476,""longitude"":-117.09755},""url"":""https://www.zillow.com/homedetails/311-E-26th-St-National-City-CA-91950/17099959_zpid/""}","https://www.zillow.com/homedetails/311-E-26th-St-National-City-CA-91950/17099959_zpid/","311 E 26th St, National City, CA 91950","EXP REALTY","$680,000","- Sold","3","bds","2","ba","1,073","sqft","Sold 04/11/2022","https://www.zillow.com/homedetails/311-E-26th-St-National-City-CA-91950/17099959_zpid/","https://photos.zillowstatic.com/fp/5b0aaded1b4bab4b0106d5e0b0900574-p_e.jpg","Save this home"
