"ListItem-c11n-8-85-1__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-85-1__sc-6gojrl-0","Image-c11n-8-85-1__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-85-1__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7879 Altana Way, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,180""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7879 Altana Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.779835,""longitude"":-117.14793},""url"":""https://www.zillow.com/homedetails/7879-Altana-Way-San-Diego-CA-92108/120790071_zpid/""}","https://www.zillow.com/homedetails/7879-Altana-Way-San-Diego-CA-92108/120790071_zpid/","7879 Altana Way, San Diego, CA 92108","THE GREENHOUSE GROUP INC.","$1.32M","- Sold","3","bds","4","ba","2,180","sqft","Sold 03/15/2022","https://photos.zillowstatic.com/fp/169fbec413164f672a3a99f06e02bb25-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8601 Aspect Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,666""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8601 Aspect Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.781124,""longitude"":-117.14794},""url"":""https://www.zillow.com/homedetails/8601-Aspect-Dr-San-Diego-CA-92108/250194358_zpid/""}","https://www.zillow.com/homedetails/8601-Aspect-Dr-San-Diego-CA-92108/250194358_zpid/","8601 Aspect Dr, San Diego, CA 92108","HOMECOIN.COM","$1.31M","- Sold","3","bds","3","ba","1,666","sqft","Sold 07/15/2022","https://photos.zillowstatic.com/fp/e5bd52e47d4ac2ed9c7a2a2884cf2423-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8507 Aspect Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,630""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8507 Aspect Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.781124,""longitude"":-117.14794},""url"":""https://www.zillow.com/homedetails/8507-Aspect-Dr-San-Diego-CA-92108/250195539_zpid/""}","https://www.zillow.com/homedetails/8507-Aspect-Dr-San-Diego-CA-92108/250195539_zpid/","8507 Aspect Dr, San Diego, CA 92108","PACIFIC SOTHEBY'S INT'L REALTY","$1.30M","- Sold","3","bds","3","ba","1,630","sqft","Sold 10/24/2022","https://photos.zillowstatic.com/fp/0f01063ee686026888ec0859b2fef97a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8438 Distinctive Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,630""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8438 Distinctive Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.780083,""longitude"":-117.14927},""url"":""https://www.zillow.com/homedetails/8438-Distinctive-Dr-San-Diego-CA-92108/125787855_zpid/""}","https://www.zillow.com/homedetails/8438-Distinctive-Dr-San-Diego-CA-92108/125787855_zpid/","8438 Distinctive Dr, San Diego, CA 92108","SV PREMIER","$1.26M","- Sold","3","bds","3","ba","1,630","sqft","Sold 10/24/2022","https://photos.zillowstatic.com/fp/e9b45987902b227b90886bf0dabfe9dd-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8345 Ridge Ct, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,229""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8345 Ridge Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78323,""longitude"":-117.149025},""url"":""https://www.zillow.com/homedetails/8345-Ridge-Ct-San-Diego-CA-92108/125982845_zpid/""}","https://www.zillow.com/homedetails/8345-Ridge-Ct-San-Diego-CA-92108/125982845_zpid/","8345 Ridge Ct, San Diego, CA 92108","","$1.26M","- Sold","3","bds","4","ba","2,229","sqft","Sold 05/18/2021","https://photos.zillowstatic.com/fp/f7e3149ccfada3b121263ca9ef97cada-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2757 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,188""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2757 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2757-Via-Alta-Pl-San-Diego-CA-92108/305156413_zpid/""}","https://www.zillow.com/homedetails/2757-Via-Alta-Pl-San-Diego-CA-92108/305156413_zpid/","2757 Via Alta Pl, San Diego, CA 92108","","$1.25M","- Sold","3","bds","3.5","ba","2,188","sqft","Sold 09/14/2020","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2735 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,188""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2735 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2735-Via-Alta-Pl-San-Diego-CA-92108/305156578_zpid/""}","https://www.zillow.com/homedetails/2735-Via-Alta-Pl-San-Diego-CA-92108/305156578_zpid/","2735 Via Alta Pl, San Diego, CA 92108","","$1.23M","- Sold","3","bds","2.5","ba","2,188","sqft","Sold 09/25/2020","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2809 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,999""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2809 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.783173,""longitude"":-117.1455},""url"":""https://www.zillow.com/homedetails/2809-Via-Alta-Pl-San-Diego-CA-92108/251201612_zpid/""}","https://www.zillow.com/homedetails/2809-Via-Alta-Pl-San-Diego-CA-92108/251201612_zpid/","2809 Via Alta Pl, San Diego, CA 92108","ROUTE 56 REALTY","$1.23M","- Sold","3","bds","3","ba","1,999","sqft","Sold 03/25/2021","https://photos.zillowstatic.com/fp/63d82e024222c130c4272ac9ffd1acf9-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2750 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,515""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2750 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2750-Via-Alta-Pl-San-Diego-CA-92108/305156570_zpid/""}","https://www.zillow.com/homedetails/2750-Via-Alta-Pl-San-Diego-CA-92108/305156570_zpid/","2750 Via Alta Pl, San Diego, CA 92108","COMPASS","$1.23M","- Sold","3","bds","3","ba","1,515","sqft","Sold 05/10/2022","https://photos.zillowstatic.com/fp/1eaae41b28ceba46df0f75967da6765f-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2733 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,999""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2733 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2733-Via-Alta-Pl-San-Diego-CA-92108/305156794_zpid/""}","https://www.zillow.com/homedetails/2733-Via-Alta-Pl-San-Diego-CA-92108/305156794_zpid/","2733 Via Alta Pl, San Diego, CA 92108","","$1.23M","- Sold","3","bds","2.5","ba","1,999","sqft","Sold 06/03/2021","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8339 Distinctive Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,666""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8339 Distinctive Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.779964,""longitude"":-117.149},""url"":""https://www.zillow.com/homedetails/8339-Distinctive-Dr-San-Diego-CA-92108/124718341_zpid/""}","https://www.zillow.com/homedetails/8339-Distinctive-Dr-San-Diego-CA-92108/124718341_zpid/","8339 Distinctive Dr, San Diego, CA 92108","WINDERMERE HOMES & ESTATES","$1.23M","- Sold","3","bds","3","ba","1,666","sqft","Sold 04/11/2022","https://photos.zillowstatic.com/fp/d8068d2b1a19bcd10f070ead03bca1f1-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2749 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,999""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2749 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2749-Via-Alta-Pl-San-Diego-CA-92108/305156791_zpid/""}","https://www.zillow.com/homedetails/2749-Via-Alta-Pl-San-Diego-CA-92108/305156791_zpid/","2749 Via Alta Pl, San Diego, CA 92108","","$1.23M","- Sold","3","bds","2.5","ba","1,999","sqft","Sold 12/11/2020","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.78316879272461,-117.14506530761719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=elGT9Qi1aoqF7zQVyWz6tT7A87Q=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7869 Altana Way, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,668""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7869 Altana Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.779835,""longitude"":-117.14793},""url"":""https://www.zillow.com/homedetails/7869-Altana-Way-San-Diego-CA-92108/120790502_zpid/""}","https://www.zillow.com/homedetails/7869-Altana-Way-San-Diego-CA-92108/120790502_zpid/","7869 Altana Way, San Diego, CA 92108","COLDWELL BANKER WEST","$1.22M","- Sold","3","bds","3","ba","1,668","sqft","Sold 02/14/2022","https://photos.zillowstatic.com/fp/6d859432fd6ffcf367f5f77196a26f82-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2375 Aperture Cir, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,894""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2375 Aperture Cir"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78184,""longitude"":-117.149216},""url"":""https://www.zillow.com/homedetails/2375-Aperture-Cir-San-Diego-CA-92108/122075551_zpid/""}","https://www.zillow.com/homedetails/2375-Aperture-Cir-San-Diego-CA-92108/122075551_zpid/","2375 Aperture Cir, San Diego, CA 92108","COLDWELL BANKER WEST","$1.21M","- Sold","3","bds","3","ba","1,894","sqft","Sold 03/02/2022","https://photos.zillowstatic.com/fp/afa90fb17dfa0bcf4d750f703feae8b4-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8534 Aspect Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,878""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8534 Aspect Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.781124,""longitude"":-117.14794},""url"":""https://www.zillow.com/homedetails/8534-Aspect-Dr-San-Diego-CA-92108/250194430_zpid/""}","https://www.zillow.com/homedetails/8534-Aspect-Dr-San-Diego-CA-92108/250194430_zpid/","8534 Aspect Dr, San Diego, CA 92108","COMPASS","$1.20M","- Sold","3","bds","2","ba","1,878","sqft","Sold 07/13/2021","https://photos.zillowstatic.com/fp/a7addb0c813035d67b78b6612c94c0e4-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8369 Distinctive Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,666""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8369 Distinctive Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.780083,""longitude"":-117.14927},""url"":""https://www.zillow.com/homedetails/8369-Distinctive-Dr-San-Diego-CA-92108/125722754_zpid/""}","https://www.zillow.com/homedetails/8369-Distinctive-Dr-San-Diego-CA-92108/125722754_zpid/","8369 Distinctive Dr, San Diego, CA 92108","STASIK HOMES REAL ESTATE","$1.20M","- Sold","3","bds","3","ba","1,666","sqft","Sold 02/23/2022","https://photos.zillowstatic.com/fp/9d11cb11bebff7af58899b0e80ab1d45-p_e.jpg","Save this home"
