"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3031 Feiler Pl, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,810""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3031 Feiler Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.80078,""longitude"":-117.12211},""url"":""https://www.zillow.com/homedetails/3031-Feiler-Pl-San-Diego-CA-92123/16931690_zpid/""}","https://www.zillow.com/homedetails/3031-Feiler-Pl-San-Diego-CA-92123/16931690_zpid/","3031 Feiler Pl, San Diego, CA 92123","$1.13M","- Sold","3","bds","2","ba","1,810","sqft","Sold 04/20/2022","https://photos.zillowstatic.com/fp/bc6373e08d61c1557bd00fb15c9dc87c-p_e.jpg","Save this home","COLDWELL BANKER REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2686 Franklin Ridge Rd #k5qh6j, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,124""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2686 Franklin Ridge Rd #K5QH6J"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/2686-Franklin-Ridge-Rd-K5QH6J-San-Diego-CA-92123/2084166510_zpid/""}","https://www.zillow.com/homedetails/2686-Franklin-Ridge-Rd-K5QH6J-San-Diego-CA-92123/2084166510_zpid/","2686 Franklin Ridge Rd #K5QH6J, San Diego, CA 92123","$1.12M","- Sold","3","bds","4","ba","2,124","sqft","Sold 10/26/2021","https://photos.zillowstatic.com/fp/8a43df14d98bee2cd46cb98ad90bf9d5-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3134 Admiral Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,430""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3134 Admiral Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.800186,""longitude"":-117.1293},""url"":""https://www.zillow.com/homedetails/3134-Admiral-Ave-San-Diego-CA-92123/16931419_zpid/""}","https://www.zillow.com/homedetails/3134-Admiral-Ave-San-Diego-CA-92123/16931419_zpid/","3134 Admiral Ave, San Diego, CA 92123","$1.11M","- Sold","3","bds","2","ba","1,430","sqft","Sold 04/04/2022","https://photos.zillowstatic.com/fp/99a89ca144d873f62ad29d8aeb1905f2-p_e.jpg","Save this home","TURNER AND ASSOCIATES"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3201 Chauncey Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,165""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3201 Chauncey Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.80059,""longitude"":-117.13842},""url"":""https://www.zillow.com/homedetails/3201-Chauncey-Dr-San-Diego-CA-92123/16929976_zpid/""}","https://www.zillow.com/homedetails/3201-Chauncey-Dr-San-Diego-CA-92123/16929976_zpid/","3201 Chauncey Dr, San Diego, CA 92123","$1.10M","- Sold","3","bds","2","ba","1,165","sqft","Sold 04/01/2022","https://photos.zillowstatic.com/fp/c70a615eba666324185aef032d59de8b-p_e.jpg","Save this home","ARCH REAL ESTATE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8685 Anrol Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,314""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8685 Anrol Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.792564,""longitude"":-117.145905},""url"":""https://www.zillow.com/homedetails/8685-Anrol-Ave-San-Diego-CA-92123/16930962_zpid/""}","https://www.zillow.com/homedetails/8685-Anrol-Ave-San-Diego-CA-92123/16930962_zpid/","8685 Anrol Ave, San Diego, CA 92123","$1.10M","- Sold","3","bds","2","ba","1,314","sqft","Sold 04/06/2022","https://photos.zillowstatic.com/fp/6880aefe336737b0b18e155a17f30c6a-p_e.jpg","Save this home","EXP REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2997 Epaulette St, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,200""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2997 Epaulette St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.79704,""longitude"":-117.13061},""url"":""https://www.zillow.com/homedetails/2997-Epaulette-St-San-Diego-CA-92123/16931807_zpid/""}","https://www.zillow.com/homedetails/2997-Epaulette-St-San-Diego-CA-92123/16931807_zpid/","2997 Epaulette St, San Diego, CA 92123","$1.10M","- Sold","3","bds","2","ba","1,200","sqft","Sold 04/12/2022","https://photos.zillowstatic.com/fp/151b2215ff5627bdceb34630a092d0f8-p_e.jpg","Save this home","PREMIERE HOMES"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9385 Ronda Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,056""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9385 Ronda Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.79221,""longitude"":-117.123},""url"":""https://www.zillow.com/homedetails/9385-Ronda-Ave-San-Diego-CA-92123/16932410_zpid/""}","https://www.zillow.com/homedetails/9385-Ronda-Ave-San-Diego-CA-92123/16932410_zpid/","9385 Ronda Ave, San Diego, CA 92123","$1.10M","- Sold","3","bds","2","ba","1,056","sqft","Sold 09/26/2022","https://photos.zillowstatic.com/fp/ee4df87dedcc6883f966f6272f617f7d-p_e.jpg","Save this home","BOOKMARK REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2417 Blue Jay Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,107""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2417 Blue Jay Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78608,""longitude"":-117.15466},""url"":""https://www.zillow.com/homedetails/2417-Blue-Jay-Dr-San-Diego-CA-92123/17200635_zpid/""}","https://www.zillow.com/homedetails/2417-Blue-Jay-Dr-San-Diego-CA-92123/17200635_zpid/","2417 Blue Jay Dr, San Diego, CA 92123","$1.10M","- Sold","3","bds","2","ba","1,107","sqft","Sold 03/03/2022","https://photos.zillowstatic.com/fp/9d24a89e5d2b12f0f7bd15e9e968800a-p_e.jpg","Save this home","COLDWELL BANKER WEST"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2482 Melbourne Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,056""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2482 Melbourne Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.79016,""longitude"":-117.12835},""url"":""https://www.zillow.com/homedetails/2482-Melbourne-Dr-San-Diego-CA-92123/16932488_zpid/""}","https://www.zillow.com/homedetails/2482-Melbourne-Dr-San-Diego-CA-92123/16932488_zpid/","2482 Melbourne Dr, San Diego, CA 92123","$1.08M","- Sold","3","bds","2","ba","1,056","sqft","Sold 04/07/2022","https://photos.zillowstatic.com/fp/77abc49ee600d16a26f6dc1af4d69d49-p_e.jpg","Save this home","COMPASS"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2244 Ron Way, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,923""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2244 Ron Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.7846,""longitude"":-117.15187},""url"":""https://www.zillow.com/homedetails/2244-Ron-Way-San-Diego-CA-92123/17201001_zpid/""}","https://www.zillow.com/homedetails/2244-Ron-Way-San-Diego-CA-92123/17201001_zpid/","2244 Ron Way, San Diego, CA 92123","$1.08M","- Sold","3","bds","3","ba","1,923","sqft","Sold 05/04/2022","https://photos.zillowstatic.com/fp/b1aa140222e59a7ad218a48610a618d0-p_e.jpg","Save this home","COMPASS"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8426 Fireside Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,114""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8426 Fireside Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.7969,""longitude"":-117.14765},""url"":""https://www.zillow.com/homedetails/8426-Fireside-Ave-San-Diego-CA-92123/16930587_zpid/""}","https://www.zillow.com/homedetails/8426-Fireside-Ave-San-Diego-CA-92123/16930587_zpid/","8426 Fireside Ave, San Diego, CA 92123","$1.08M","- Sold","3","bds","2","ba","1,114","sqft","Sold 06/06/2022","https://photos.zillowstatic.com/fp/1fc66cfc3aa2ed5967f9eed28d27b183-p_e.jpg","Save this home","COMPASS"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2809 Larkin Pl, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,757""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2809 Larkin Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.794098,""longitude"":-117.13361},""url"":""https://www.zillow.com/homedetails/2809-Larkin-Pl-San-Diego-CA-92123/16933161_zpid/""}","https://www.zillow.com/homedetails/2809-Larkin-Pl-San-Diego-CA-92123/16933161_zpid/","2809 Larkin Pl, San Diego, CA 92123","$1.07M","- Sold","3","bds","2","ba","1,757","sqft","Sold 01/18/2022","https://photos.zillowstatic.com/fp/23936766e1a9572e26d4b81d70dfa9c3-p_e.jpg","Save this home","CENTURY 21 AWARD"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3027 W Canyon Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,579""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3027 W Canyon Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.80046,""longitude"":-117.11763},""url"":""https://www.zillow.com/homedetails/3027-W-Canyon-Ave-San-Diego-CA-92123/16933326_zpid/""}","https://www.zillow.com/homedetails/3027-W-Canyon-Ave-San-Diego-CA-92123/16933326_zpid/","3027 W Canyon Ave, San Diego, CA 92123","$1.07M","- Sold","3","bds","2.5","ba","1,579","sqft","Sold 07/19/2022","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.80046081542969,-117.11763000488281&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=HbT07-UN--cGdLj6iYiGNAvfX3o=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3027 W Canyon Ave W, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,579""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3027 W Canyon Ave W"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/3027-W-Canyon-Ave-W-San-Diego-CA-92123/2063253310_zpid/""}","https://www.zillow.com/homedetails/3027-W-Canyon-Ave-W-San-Diego-CA-92123/2063253310_zpid/","3027 W Canyon Ave W, San Diego, CA 92123","$1.07M","- Sold","3","bds","3","ba","1,579","sqft","Sold 07/19/2022","https://photos.zillowstatic.com/fp/fcde21c3af0cee6fe16bf41f27349ad2-p_e.jpg","Save this home","SKOGLIN REAL ESTATE, INC."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9256 Overton Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,420""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9256 Overton Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.794838,""longitude"":-117.12732},""url"":""https://www.zillow.com/homedetails/9256-Overton-Ave-San-Diego-CA-92123/16932169_zpid/""}","https://www.zillow.com/homedetails/9256-Overton-Ave-San-Diego-CA-92123/16932169_zpid/","9256 Overton Ave, San Diego, CA 92123","$1.06M","- Sold","3","bds","2","ba","1,420","sqft","Sold 03/09/2022","https://photos.zillowstatic.com/fp/e86bcc1444af2f11a85b16a3c84daa7a-p_e.jpg","Save this home","BIG BLOCK REALTY, INC."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3065 Greyling Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,631""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3065 Greyling Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.80006,""longitude"":-117.140526},""url"":""https://www.zillow.com/homedetails/3065-Greyling-Dr-San-Diego-CA-92123/16930166_zpid/""}","https://www.zillow.com/homedetails/3065-Greyling-Dr-San-Diego-CA-92123/16930166_zpid/","3065 Greyling Dr, San Diego, CA 92123","$1.06M","- Sold","3","bds","2","ba","1,631","sqft","Sold 02/06/2023","https://photos.zillowstatic.com/fp/4d44ac68d3abd3d2c30989467d376f45-p_e.jpg","Save this home","EXP REALTY"
