"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""327 S Evans St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""900""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""327 S Evans St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.703526,""longitude"":-117.13653},""url"":""https://www.zillow.com/homedetails/327-S-Evans-St-San-Diego-CA-92113/17074847_zpid/""}","https://www.zillow.com/homedetails/327-S-Evans-St-San-Diego-CA-92113/17074847_zpid/","327 S Evans St, San Diego, CA 92113","$380,000","- Sold","2","bds","1","ba","900","sqft","Sold 03/16/2020","https://www.zillow.com/homedetails/327-S-Evans-St-San-Diego-CA-92113/17074847_zpid/","https://photos.zillowstatic.com/fp/ff9a15937753d41fdf30de3450a4e328-p_e.jpg","Save this home","HOMESMART REALTY WEST"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3770 National Ave #2, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""652""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3770 National Ave #2"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.69634,""longitude"":-117.11305},""url"":""https://www.zillow.com/homedetails/3770-National-Ave-2-San-Diego-CA-92113/2065511898_zpid/""}","https://www.zillow.com/homedetails/3770-National-Ave-2-San-Diego-CA-92113/2065511898_zpid/","3770 National Ave #2, San Diego, CA 92113","$380,000","- Sold","2","bds","1","ba","652","sqft","Sold 04/15/2022","https://www.zillow.com/homedetails/3770-National-Ave-2-San-Diego-CA-92113/2065511898_zpid/","https://photos.zillowstatic.com/fp/63a729ffebe0942f5b4c3748a97e96bf-p_e.jpg","Save this home","CORONADO ISLAND REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3718 Birch St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""675""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3718 Birch St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.6891,""longitude"":-117.11405},""url"":""https://www.zillow.com/homedetails/3718-Birch-St-San-Diego-CA-92113/17092014_zpid/""}","https://www.zillow.com/homedetails/3718-Birch-St-San-Diego-CA-92113/17092014_zpid/","3718 Birch St, San Diego, CA 92113","$375,000","- Sold","2","bds","1","ba","675","sqft","Sold 03/30/2020","https://www.zillow.com/homedetails/3718-Birch-St-San-Diego-CA-92113/17092014_zpid/","https://photos.zillowstatic.com/fp/c458521bae8c2c2b7889816dbe46ae54-p_e.jpg","Save this home","LIFESTYLE REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4393 Mayberry St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""866""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4393 Mayberry St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.691578,""longitude"":-117.09916},""url"":""https://www.zillow.com/homedetails/4393-Mayberry-St-San-Diego-CA-92113/17092812_zpid/""}","https://www.zillow.com/homedetails/4393-Mayberry-St-San-Diego-CA-92113/17092812_zpid/","4393 Mayberry St, San Diego, CA 92113","$375,000","- Sold","2","bds","2","ba","866","sqft","Sold 11/09/2022","https://www.zillow.com/homedetails/4393-Mayberry-St-San-Diego-CA-92113/17092812_zpid/","https://photos.zillowstatic.com/fp/a9c13dc5ad6c81938f79501b5f837aa9-p_e.jpg","Save this home","USAFC REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4463 Mayberry St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""856""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4463 Mayberry St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.691578,""longitude"":-117.09916},""url"":""https://www.zillow.com/homedetails/4463-Mayberry-St-San-Diego-CA-92113/17092838_zpid/""}","https://www.zillow.com/homedetails/4463-Mayberry-St-San-Diego-CA-92113/17092838_zpid/","4463 Mayberry St, San Diego, CA 92113","$375,000","- Sold","2","bds","2","ba","856","sqft","Sold 03/22/2022","https://www.zillow.com/homedetails/4463-Mayberry-St-San-Diego-CA-92113/17092838_zpid/","https://photos.zillowstatic.com/fp/743393baa28e04703b20977f829286c7-p_e.jpg","Save this home","BEYOND PROPERTY MANAGEMENT"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3265 Ocean View Blvd Unit 9, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""846""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3265 Ocean View Blvd UNIT 9"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.700912,""longitude"":-117.123146},""url"":""https://www.zillow.com/homedetails/3265-Ocean-View-Blvd-UNIT-9-San-Diego-CA-92113/65239771_zpid/""}","https://www.zillow.com/homedetails/3265-Ocean-View-Blvd-UNIT-9-San-Diego-CA-92113/65239771_zpid/","3265 Ocean View Blvd UNIT 9, San Diego, CA 92113","$375,000","- Sold","2","bds","1","ba","846","sqft","Sold 05/11/2022","https://www.zillow.com/homedetails/3265-Ocean-View-Blvd-UNIT-9-San-Diego-CA-92113/65239771_zpid/","https://photos.zillowstatic.com/fp/a88b79ed1132c9a9a0b349ce417a1d49-p_e.jpg","Save this home","CJ3REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3265 Ocean View Blvd Unit 5, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""846""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3265 Ocean View Blvd UNIT 5"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.700912,""longitude"":-117.123146},""url"":""https://www.zillow.com/homedetails/3265-Ocean-View-Blvd-UNIT-5-San-Diego-CA-92113/65239773_zpid/""}","https://www.zillow.com/homedetails/3265-Ocean-View-Blvd-UNIT-5-San-Diego-CA-92113/65239773_zpid/","3265 Ocean View Blvd UNIT 5, San Diego, CA 92113","$375,000","- Sold","2","bds","1","ba","846","sqft","Sold 11/21/2022","https://www.zillow.com/homedetails/3265-Ocean-View-Blvd-UNIT-5-San-Diego-CA-92113/65239773_zpid/","https://photos.zillowstatic.com/fp/199e5be19ce78f2a0c56afb70f73f8ba-p_e.jpg","Save this home","CJ3REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4412 Delta St Apt 34, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,056""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4412 Delta St APT 34"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.689644,""longitude"":-117.099365},""url"":""https://www.zillow.com/homedetails/4412-Delta-St-APT-34-San-Diego-CA-92113/17093062_zpid/""}","https://www.zillow.com/homedetails/4412-Delta-St-APT-34-San-Diego-CA-92113/17093062_zpid/","4412 Delta St APT 34, San Diego, CA 92113","$373,000","- Sold","2","bds","3","ba","1,056","sqft","Sold 07/22/2021","https://www.zillow.com/homedetails/4412-Delta-St-APT-34-San-Diego-CA-92113/17093062_zpid/","https://photos.zillowstatic.com/fp/6f5b51c289f38dc449223f083a9c528f-p_e.jpg","Save this home","THANK YOU HEROES REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4615 Delta St Apt 7, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""864""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4615 Delta St APT 7"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.68886,""longitude"":-117.09686},""url"":""https://www.zillow.com/homedetails/4615-Delta-St-APT-7-San-Diego-CA-92113/17093099_zpid/""}","https://www.zillow.com/homedetails/4615-Delta-St-APT-7-San-Diego-CA-92113/17093099_zpid/","4615 Delta St APT 7, San Diego, CA 92113","$370,000","- Sold","2","bds","2","ba","864","sqft","Sold 02/27/2023","https://www.zillow.com/homedetails/4615-Delta-St-APT-7-San-Diego-CA-92113/17093099_zpid/","https://photos.zillowstatic.com/fp/177197392ec05d85a1d61c1159530409-p_e.jpg","Save this home","BIG BLOCK REALTY, INC"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1873 Irving Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""741""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1873 Irving Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.704254,""longitude"":-117.14248},""url"":""https://www.zillow.com/homedetails/1873-Irving-Ave-San-Diego-CA-92113/295360681_zpid/""}","https://www.zillow.com/homedetails/1873-Irving-Ave-San-Diego-CA-92113/295360681_zpid/","1873 Irving Ave, San Diego, CA 92113","$366,000","- Sold","2","bds","1","ba","741","sqft","Sold 07/20/2021","https://www.zillow.com/homedetails/1873-Irving-Ave-San-Diego-CA-92113/295360681_zpid/","https://photos.zillowstatic.com/fp/6dbe74c69f4f22958374d25c88d2f7ef-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4477 Mayberry St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""866""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4477 Mayberry St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.691578,""longitude"":-117.09916},""url"":""https://www.zillow.com/homedetails/4477-Mayberry-St-San-Diego-CA-92113/17092842_zpid/""}","https://www.zillow.com/homedetails/4477-Mayberry-St-San-Diego-CA-92113/17092842_zpid/","4477 Mayberry St, San Diego, CA 92113","$365,000","- Sold","2","bds","2","ba","866","sqft","Sold 02/15/2022","https://www.zillow.com/homedetails/4477-Mayberry-St-San-Diego-CA-92113/17092842_zpid/","https://photos.zillowstatic.com/fp/df0560cffaed4006da0ab3170d714d81-p_e.jpg","Save this home","INTREPID REAL ESTATE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4450 Delta St Apt 16, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""914""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4450 Delta St APT 16"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.689342,""longitude"":-117.09836},""url"":""https://www.zillow.com/homedetails/4450-Delta-St-APT-16-San-Diego-CA-92113/17093077_zpid/""}","https://www.zillow.com/homedetails/4450-Delta-St-APT-16-San-Diego-CA-92113/17093077_zpid/","4450 Delta St APT 16, San Diego, CA 92113","$363,000","- Sold","2","bds","1","ba","914","sqft","Sold 06/29/2022","https://www.zillow.com/homedetails/4450-Delta-St-APT-16-San-Diego-CA-92113/17093077_zpid/","https://photos.zillowstatic.com/fp/9ff2f9e6b0ca76aa8cd6ba586ec4bd0e-p_e.jpg","Save this home","24/7 REALTY INC"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2985 Clay Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""570""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2985 Clay Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.70307,""longitude"":-117.12988},""url"":""https://www.zillow.com/homedetails/2985-Clay-Ave-San-Diego-CA-92113/17085108_zpid/""}","https://www.zillow.com/homedetails/2985-Clay-Ave-San-Diego-CA-92113/17085108_zpid/","2985 Clay Ave, San Diego, CA 92113","$356,900","- Sold","2","bds","2","ba","570","sqft","Sold 05/28/2020","https://www.zillow.com/homedetails/2985-Clay-Ave-San-Diego-CA-92113/17085108_zpid/","https://photos.zillowstatic.com/fp/fcfd10dd3c5c581aec6d4cc83d8872c7-p_e.jpg","Save this home","COLDWELL BANKER WEST"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""115 S Evans St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""801""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""115 S Evans St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.705044,""longitude"":-117.135185},""url"":""https://www.zillow.com/homedetails/115-S-Evans-St-San-Diego-CA-92113/17069051_zpid/""}","https://www.zillow.com/homedetails/115-S-Evans-St-San-Diego-CA-92113/17069051_zpid/","115 S Evans St, San Diego, CA 92113","$350,000","- Sold","2","bds","1","ba","801","sqft","Sold 08/13/2021","https://www.zillow.com/homedetails/115-S-Evans-St-San-Diego-CA-92113/17069051_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.70504379272461,-117.13518524169922&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=3oFMhXFU9pfRsOA9Bc7rnfCwsbc=","Save this home",""
