"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14210 Fox Run Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,672""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14210 Fox Run Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.977474,""longitude"":-117.20733},""url"":""https://www.zillow.com/homedetails/14210-Fox-Run-Row-San-Diego-CA-92130/16767461_zpid/""}","https://www.zillow.com/homedetails/14210-Fox-Run-Row-San-Diego-CA-92130/16767461_zpid/","14210 Fox Run Row, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$2.66M","- Sold","3","bds","3","ba","2,672","sqft","Sold 09/26/2022","https://photos.zillowstatic.com/fp/a3cdd2556dcb7b7ef2ef0176bbc084b6-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5130 Bareback Sq, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,362""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5130 Bareback Sq"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.975105,""longitude"":-117.208755},""url"":""https://www.zillow.com/homedetails/5130-Bareback-Sq-San-Diego-CA-92130/16767483_zpid/""}","https://www.zillow.com/homedetails/5130-Bareback-Sq-San-Diego-CA-92130/16767483_zpid/","5130 Bareback Sq, San Diego, CA 92130","COLDWELL BANKER REALTY","$2.65M","- Sold","3","bds","4","ba","3,362","sqft","Sold 03/22/2022","https://photos.zillowstatic.com/fp/45f88d8c573477ec5e4669a7d7cca732-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14050 Steeple Chase Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,210""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14050 Steeple Chase Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.97602,""longitude"":-117.20648},""url"":""https://www.zillow.com/homedetails/14050-Steeple-Chase-Row-San-Diego-CA-92130/16767434_zpid/""}","https://www.zillow.com/homedetails/14050-Steeple-Chase-Row-San-Diego-CA-92130/16767434_zpid/","14050 Steeple Chase Row, San Diego, CA 92130","WILLIS ALLEN REAL ESTATE","$2.45M","- Sold","3","bds","5","ba","3,210","sqft","Sold 01/31/2023","https://photos.zillowstatic.com/fp/8cfc2e6e1d19ce999b19aab7b993e7ae-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5111 Tattersall Sq, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,098""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5111 Tattersall Sq"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.977474,""longitude"":-117.20733},""url"":""https://www.zillow.com/homedetails/5111-Tattersall-Sq-San-Diego-CA-92130/16767468_zpid/""}","https://www.zillow.com/homedetails/5111-Tattersall-Sq-San-Diego-CA-92130/16767468_zpid/","5111 Tattersall Sq, San Diego, CA 92130","","$2.35M","- Sold","3","bds","4.5","ba","3,098","sqft","Sold 02/23/2021","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.977474212646484,-117.20732879638672&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=slGJ4x-b__1SROGPL7pBb9XTdms=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5250 Triple Crown Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,430""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5250 Triple Crown Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.973553,""longitude"":-117.207306},""url"":""https://www.zillow.com/homedetails/5250-Triple-Crown-Row-San-Diego-CA-92130/16767509_zpid/""}","https://www.zillow.com/homedetails/5250-Triple-Crown-Row-San-Diego-CA-92130/16767509_zpid/","5250 Triple Crown Row, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$2.30M","- Sold","3","bds","5","ba","3,430","sqft","Sold 07/09/2020","https://photos.zillowstatic.com/fp/a98b8e2e862b587d0c79385d4b0f8670-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5170 Saddlery Sq, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,098""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5170 Saddlery Sq"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.975105,""longitude"":-117.208755},""url"":""https://www.zillow.com/homedetails/5170-Saddlery-Sq-San-Diego-CA-92130/16767472_zpid/""}","https://www.zillow.com/homedetails/5170-Saddlery-Sq-San-Diego-CA-92130/16767472_zpid/","5170 Saddlery Sq, San Diego, CA 92130","WILLIS ALLEN REAL ESTATE","$2.20M","- Sold","3","bds","5","ba","3,098","sqft","Sold 06/21/2021","https://photos.zillowstatic.com/fp/0b4df62cc0d5bb5e97f0fb9dcf9685bf-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14030 Steeple Chase Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,290""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14030 Steeple Chase Row"",""addressLocality"":""SAN DIEGO"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.97602,""longitude"":-117.20648},""url"":""https://www.zillow.com/homedetails/14030-Steeple-Chase-Row-San-Diego-CA-92130/16767435_zpid/""}","https://www.zillow.com/homedetails/14030-Steeple-Chase-Row-San-Diego-CA-92130/16767435_zpid/","14030 Steeple Chase Row, San Diego, CA 92130","WILLIS ALLEN REAL ESTATE","$2.10M","- Sold","3","bds","4","ba","3,290","sqft","Sold 06/28/2021","https://photos.zillowstatic.com/fp/a47f8527c81c88c2347a6b93053e92ff-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13518 Moonflower Meadows Trl, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,007""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13518 Moonflower Meadows Trl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.963436,""longitude"":-117.19301},""url"":""https://www.zillow.com/homedetails/13518-Moonflower-Meadows-Trl-San-Diego-CA-92130/69020365_zpid/""}","https://www.zillow.com/homedetails/13518-Moonflower-Meadows-Trl-San-Diego-CA-92130/69020365_zpid/","13518 Moonflower Meadows Trl, San Diego, CA 92130","EXP REALTY OF CALIFORNIA, INC","$2.05M","- Sold","3","bds","3","ba","2,007","sqft","Sold 05/23/2022","https://photos.zillowstatic.com/fp/8e10bcc55576f38368ae3e4341307503-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13660 Landfair Rd, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,128""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13660 Landfair Rd"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.963043,""longitude"":-117.23524},""url"":""https://www.zillow.com/homedetails/13660-Landfair-Rd-San-Diego-CA-92130/16769148_zpid/""}","https://www.zillow.com/homedetails/13660-Landfair-Rd-San-Diego-CA-92130/16769148_zpid/","13660 Landfair Rd, San Diego, CA 92130","EXP REALTY","$2.00M","- Sold","3","bds","3","ba","2,128","sqft","Sold 07/07/2022","https://photos.zillowstatic.com/fp/a8e03a990b06733769f9c5dcd6f9aca3-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3447 Overpark Rd, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,953""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3447 Overpark Rd"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.95704,""longitude"":-117.2421},""url"":""https://www.zillow.com/homedetails/3447-Overpark-Rd-San-Diego-CA-92130/16769665_zpid/""}","https://www.zillow.com/homedetails/3447-Overpark-Rd-San-Diego-CA-92130/16769665_zpid/","3447 Overpark Rd, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$1.90M","- Sold","3","bds","3","ba","1,953","sqft","Sold 03/15/2022","https://photos.zillowstatic.com/fp/ee8c11602f4d07b3cc6412a860890283-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3646 Torrey View Ct, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,145""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3646 Torrey View Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.92389,""longitude"":-117.23618},""url"":""https://www.zillow.com/homedetails/3646-Torrey-View-Ct-San-Diego-CA-92130/16778214_zpid/""}","https://www.zillow.com/homedetails/3646-Torrey-View-Ct-San-Diego-CA-92130/16778214_zpid/","3646 Torrey View Ct, San Diego, CA 92130","REDFIN CORPORATION","$1.90M","- Sold","3","bds","3","ba","2,145","sqft","Sold 06/30/2022","https://photos.zillowstatic.com/fp/b5745c3179ab3737e503042275c5c127-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5140 Tattersall Sq, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,098""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5140 Tattersall Sq"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.977474,""longitude"":-117.20733},""url"":""https://www.zillow.com/homedetails/5140-Tattersall-Sq-San-Diego-CA-92130/16767464_zpid/""}","https://www.zillow.com/homedetails/5140-Tattersall-Sq-San-Diego-CA-92130/16767464_zpid/","5140 Tattersall Sq, San Diego, CA 92130","BIG BLOCK REALTY, INC","$1.89M","- Sold","3","bds","5","ba","3,098","sqft","Sold 06/05/2020","https://photos.zillowstatic.com/fp/728a4b0fc540875d31a9227c813e8661-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13010 Brixton Pl, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,804""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13010 Brixton Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.956657,""longitude"":-117.21965},""url"":""https://www.zillow.com/homedetails/13010-Brixton-Pl-San-Diego-CA-92130/16770834_zpid/""}","https://www.zillow.com/homedetails/13010-Brixton-Pl-San-Diego-CA-92130/16770834_zpid/","13010 Brixton Pl, San Diego, CA 92130","","$1.88M","- Sold","3","bds","3","ba","1,804","sqft","Sold 08/15/2022","https://photos.zillowstatic.com/fp/8a8276621f75437a3f4b04ebf42236da-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6335 Peach Way, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,682""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6335 Peach Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.96009,""longitude"":-117.18115},""url"":""https://www.zillow.com/homedetails/6335-Peach-Way-San-Diego-CA-92130/61239481_zpid/""}","https://www.zillow.com/homedetails/6335-Peach-Way-San-Diego-CA-92130/61239481_zpid/","6335 Peach Way, San Diego, CA 92130","SIGNATURE REAL ESTATE GROUP","$1.80M","- Sold","3","bds","4","ba","2,682","sqft","Sold 10/04/2021","https://photos.zillowstatic.com/fp/2728113d854af73b98d8fa356afb6780-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13366 Plumeria Way, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,985""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13366 Plumeria Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.964035,""longitude"":-117.18264},""url"":""https://www.zillow.com/homedetails/13366-Plumeria-Way-San-Diego-CA-92130/145641537_zpid/""}","https://www.zillow.com/homedetails/13366-Plumeria-Way-San-Diego-CA-92130/145641537_zpid/","13366 Plumeria Way, San Diego, CA 92130","","$1.80M","- Sold","3","bds","2.5","ba","1,985","sqft","Sold 03/11/2022","https://photos.zillowstatic.com/fp/a8b3dd75ad4a59ddc0dd2e8fb9f5c81e-p_e.jpg","Save this home"
